adc1, adc2, adc3, adc4, gx, gy, gz 
2016-04-02 16:12:00.720804,236, 236, 9, 6, -57, 50, 0 
2016-04-02 16:12:00.721034,236, 236, 9, 6, -57, 50, 0 
2016-04-02 16:12:00.721724,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.721953,236, 236, 9, 6, -57, 50, 0 
2016-04-02 16:12:00.722645,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.722876,236, 236, 9, 6, -57, 50, 0 
2016-04-02 16:12:00.723565,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.723795,236, 236, 9, 6, -57, 50, 0 
2016-04-02 16:12:00.724488,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.724716,236, 236, 9, 6, -57, 50, 0 
2016-04-02 16:12:00.725408,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.725711,236, 236, 9, 6, -57, 50, 0 
2016-04-02 16:12:00.726410,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.726642,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.727334,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.727562,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.728256,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.728484,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.729177,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.729406,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.730102,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.730334,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.731027,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.731259,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.731949,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.732178,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.732869,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.733097,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.733787,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.734016,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.734707,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.734936,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.735629,236, 236, 6, 6, -57, 50, 0 
2016-04-02 16:12:00.735856,236, 236, 9, 6, -57, 50, 0 
2016-04-02 16:12:00.736551,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.736781,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.737472,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.737701,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.738393,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.738623,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.739312,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.739542,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.740246,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.740477,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.741181,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.741412,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.742113,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.742342,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.743044,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.743273,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.743981,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.744211,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.744914,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.745143,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.745843,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.746073,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.746775,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.747005,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.747704,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.747933,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.748638,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.748867,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.749569,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.749798,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.750525,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.750758,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.751459,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.751688,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.752391,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.752621,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.753322,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.753552,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.754254,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.754482,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.755185,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.755414,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.756116,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.756344,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.757045,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.757274,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.757974,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.758204,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.758906,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.759135,236, 236, 9, 6, -56, 48, -2 
2016-04-02 16:12:00.759914,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.760150,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.760854,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.761085,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.761788,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.762018,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.762717,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.762947,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.763650,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.763879,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.764579,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.764809,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.765510,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.765739,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.766440,236, 236, 6, 6, -56, 48, -2 
